City/Town,Population,Total Case Counts,Two Week Case Counts,Total Tests,Total Tests Last Two Weeks,Total Positive Tests,Testing Rate,Report Date
Lexington,34080,906,108,44668,4835,123,14187.11,1/28/21
Leyden,612,<5,0,211,24,0,3923.91,1/28/21
Lincoln,8697,143,16,9266,936,19,10762.56,1/28/21
Littleton,9756,405,37,13546,1440,38,14759.51,1/28/21
Longmeadow,15406,858,99,26463,2605,120,16908.53,1/28/21
Lowell,116143,13090,1179,183391,16099,1348,13861.37,1/28/21
Ludlow,20714,1550,205,29097,2800,273,13517.37,1/28/21
Lunenburg,10418,523,81,11959,1139,87,10932.59,1/28/21
Lynn,100824,13964,1304,158149,14827,1587,14705.78,1/28/21
Lynnfield,11593,893,89,20896,2111,104,18208.81,1/28/21
Malden,67654,5441,632,106073,10755,778,15896.98,1/28/21
Manchester,4899,172,26,7599,785,31,16022.58,1/28/21
Mansfield,23631,1199,188,29396,2822,206,11942.15,1/28/21
Marblehead,19036,978,126,33100,3893,143,20450.53,1/28/21
Marion,4598,316,73,12492,889,79,19336.49,1/28/21
Marlborough,43615,3829,448,66068,5878,494,13476.95,1/28/21
Marshfield,25917,1324,201,27230,2913,224,11239.56,1/28/21
Mashpee,15535,505,97,17192,1707,103,10987.95,1/28/21
Mattapoisett,5732,337,43,7945,981,48,17113.79,1/28/21
Maynard,10406,462,83,13820,1394,99,13395.63,1/28/21
Medfield,11260,406,70,18147,1990,73,17672.68,1/28/21
Medford,60761,4081,432,191807,16646,493,27395.91,1/28/21
Medway,13067,528,79,16175,1543,82,11808.61,1/28/21
Melrose,28989,1506,174,55153,5645,202,19472.88,1/28/21
Mendon,5774,207,18,6125,500,21,8658.93,1/28/21
Merrimac,6353,296,43,7991,742,52,11680.04,1/28/21
Methuen,53837,5928,550,86701,8183,703,15199.51,1/28/21
Middleborough,27402,1464,232,30272,3469,269,12659.74,1/28/21
Middlefield,444,5,0,227,21,0,4733.26,1/28/21
Middleton,10425,1148,111,15847,1475,120,14148.18,1/28/21
Milford,29333,2280,208,35850,2883,241,9828.68,1/28/21
Millbury,13671,946,97,17141,1680,114,12289.10,1/28/21
Millis,7866,334,55,9460,1050,61,13348.15,1/28/21
Millville,3589,132,14,2958,275,15,7662.65,1/28/21
Milton,28747,1732,252,68432,7445,280,25898.12,1/28/21
Monroe,97,<5,0,80,9,0,9253.86,1/28/21
Monson,8390,370,53,8885,826,67,9845.57,1/28/21
Montague,8453,193,23,10387,1135,27,13427.41,1/28/21
Monterey,926,15,<5,1001,103,1,11123.84,1/28/21
Montgomery,887,16,<5,303,43,2,4849.83,1/28/21
Mount Washington,131,6,6,56,11,6,8374.70,1/28/21
Nahant,3234,203,32,6414,712,38,22018.14,1/28/21
Nantucket,11416,1062,110,19142,1672,111,14646.41,1/28/21
Natick,36016,1477,221,57403,6050,246,16798.13,1/28/21
Needham,29234,1209,178,58983,6571,201,22477.33,1/28/21
New Ashford,176,<5,0,107,8,0,4547.47,1/28/21
New Bedford,99980,11037,1502,137202,14847,1748,14850.00,1/28/21
New Braintree,1061,25,<5,883,72,1,6784.66,1/28/21
New Marlborough,1523,21,0,934,79,2,5186.16,1/28/21
New Salem,975,10,<5,977,75,1,7690.88,1/28/21
Newbury,6605,241,34,9595,977,39,14791.95,1/28/21
Newburyport,17759,816,75,29812,2764,93,15564.12,1/28/21
Newton,91690,3075,387,272361,20058,467,21875.88,1/28/21
Norfolk,12493,818,47,15052,1145,54,9165.34,1/28/21
North Adams,12876,302,41,20901,2250,46,17474.08,1/28/21
North Andover,30288,2242,235,96810,5824,276,19228.58,1/28/21
North Attleborough,30326,1547,192,32101,3313,205,10924.73,1/28/21
North Brookfield,4632,203,30,4841,534,35,11529.09,1/28/21
North Reading,16656,966,92,25155,2466,101,14805.75,1/28/21
Northampton,29199,843,99,59881,5530,110,18938.70,1/28/21
Northborough,13564,959,117,26468,2948,128,21734.67,1/28/21
Northbridge,18221,911,76,22635,2107,82,11563.86,1/28/21
Northfield,2949,32,9,3796,434,11,14715.60,1/28/21
Norton,19910,1002,135,50606,2239,148,11245.68,1/28/21
Norwell,10719,472,62,14855,1518,73,14161.90,1/28/21
Norwood,30257,2174,321,47169,5281,362,17453.54,1/28/21
Oak Bluffs,5209,189,36,6266,499,44,9580.46,1/28/21
Oakham,2134,68,13,2015,210,13,9840.10,1/28/21
Orange,8125,213,27,9183,857,31,10547.95,1/28/21
Orleans,5620,134,31,4731,533,32,9483.52,1/28/21
Otis,1880,44,13,1304,161,14,8564.03,1/28/21
Oxford,13749,739,105,14607,1362,119,9905.92,1/28/21
Palmer,11815,617,123,14008,1453,144,12298.35,1/28/21
Paxton,4953,315,41,15567,626,48,12638.38,1/28/21
Peabody,55967,5284,617,90188,9222,714,16477.58,1/28/21
Pelham,1234,17,0,948,98,0,7944.59,1/28/21
Pembroke,18770,883,138,18976,2168,158,11550.62,1/28/21
Pepperell,12292,376,50,10640,884,52,7191.59,1/28/21
Peru,835,10,<5,348,29,3,3474.80,1/28/21
Petersham,1268,31,<5,1218,77,2,6074.11,1/28/21
Phillipston,1713,61,16,1410,173,16,10097.62,1/28/21
Pittsfield,43956,2057,302,62274,6764,332,15388.28,1/28/21
Plainfield,626,13,<5,594,52,2,8307.44,1/28/21
Plainville,9211,424,59,10459,1049,61,11388.56,1/28/21
Plymouth,62729,3382,627,74850,8487,682,13529.72,1/28/21
Plympton,3007,111,32,2767,358,34,11905.24,1/28/21
Princeton,3230,117,19,4635,439,22,13590.27,1/28/21
Provincetown,2583,57,6,3569,253,7,9795.45,1/28/21
Quincy,101531,5477,740,139508,14320,842,14104.09,1/28/21
Randolph,34438,3128,439,52591,5364,515,15575.87,1/28/21
Raynham,15123,1154,193,19640,2299,218,15202.01,1/28/21
Reading,27680,1495,185,39959,4230,209,15281.76,1/28/21
Rehoboth,12713,712,68,11598,1079,75,8487.64,1/28/21
Revere,60849,8616,874,116437,11812,1199,19411.98,1/28/21
Richmond,1305,30,<5,1424,167,5,12799.00,1/28/21
Rochester,5676,350,67,6286,809,76,14253.91,1/28/21
Rockland,18091,1329,187,22004,2550,206,14095.18,1/28/21
Rockport,6462,215,27,7491,959,30,14841.00,1/28/21
Rowe,336,7,<5,371,34,2,10123.31,1/28/21
Rowley,6180,303,39,7866,758,41,12265.73,1/28/21
Royalston,1274,48,5,1320,129,6,10126.86,1/28/21
Russell,1895,86,17,1781,182,18,9605.70,1/28/21
Rutland,9116,427,77,11469,1017,82,11155.95,1/28/21
Salem,45021,3660,433,92088,9393,519,20863.53,1/28/21
Salisbury,8853,505,78,9584,927,89,10470.79,1/28/21
Sandisfield,932,27,<5,1352,165,3,17710.64,1/28/21
Sandwich,21078,734,171,20264,1940,194,9203.93,1/28/21
Saugus,28486,3180,389,50752,5461,484,19170.61,1/28/21
Savoy,620,13,<5,629,81,2,13056.02,1/28/21
Scituate,18099,872,126,22486,2565,147,14171.86,1/28/21
Seekonk,14013,974,95,13254,1212,100,8648.98,1/28/21
Sharon,18280,662,140,24955,2788,151,15251.86,1/28/21
Sheffield,3054,76,14,9196,1580,16,51733.95,1/28/21
Shelburne,1831,26,<5,3981,410,2,22396.01,1/28/21
Sherborn,3774,130,18,5870,577,20,15290.63,1/28/21
Shirley,8526,727,26,9772,616,28,7225.22,1/28/21
Shrewsbury,39497,2230,295,55645,5581,328,14130.32,1/28/21
Shutesbury,1742,23,<5,2512,255,2,14635.12,1/28/21
Somerset,18521,1604,205,23921,2357,241,12726.01,1/28/21
Somerville,75646,4153,417,298100,20676,493,27332.46,1/28/21
South Hadley,18076,749,105,31745,4417,126,24435.21,1/28/21
Southampton,6018,262,29,7630,800,37,13293.47,1/28/21
Southborough,9670,352,38,20871,2324,40,24032.61,1/28/21
Southbridge,16770,1360,205,20771,2224,243,13261.82,1/28/21
Southwick,9800,385,39,9650,820,43,8367.47,1/28/21
Spencer,11470,617,74,13830,1218,79,10619.01,1/28/21
Springfield,156245,14984,1940,238293,25742,2432,16475.44,1/28/21
Sterling,7859,535,69,12839,1156,73,14709.05,1/28/21
Stockbridge,1706,58,10,3072,440,10,25788.44,1/28/21
Stoneham,22264,1788,146,43100,3906,170,17544.13,1/28/21
Stoughton,27679,2246,387,38726,4741,431,17128.29,1/28/21
Stow,7245,183,19,9128,803,20,11083.30,1/28/21
Sturbridge,10569,460,60,10528,944,63,8931.78,1/28/21
Sudbury,17810,576,62,27337,2855,72,16030.49,1/28/21
Sunderland,3721,126,14,14896,967,16,25988.52,1/28/21
Sutton,8954,506,88,11043,1133,93,12653.01,1/28/21
Swampscott,13616,838,100,28795,2786,119,20460.61,1/28/21
Swansea,15949,1361,192,20574,2174,214,13630.86,1/28/21
Taunton,57573,4468,586,78174,7839,670,13615.70,1/28/21
Templeton,9020,474,72,10551,1038,78,11508.27,1/28/21
Tewksbury,30826,2565,268,56116,5516,298,17894.19,1/28/21
Tisbury,4174,233,39,11704,896,39,21465.74,1/28/21
Tolland,414,8,0,171,18,0,4342.91,1/28/21
Topsfield,5778,350,38,11055,1110,44,19211.76,1/28/21
Townsend,9114,325,46,8810,751,49,8240.25,1/28/21
Truro,1968,25,6,1573,105,6,5335.01,1/28/21
Tyngsborough,11979,846,82,14344,1303,89,10877.29,1/28/21
Tyringham,242,8,0,324,31,0,12831.66,1/28/21
Unknown town,*,1433,195,225157,17309,198,*,1/28/21
Upton,9203,219,34,8225,834,37,9062.06,1/28/21
Uxbridge,15611,648,86,14912,1326,93,8493.83,1/28/21
Wakefield,27113,1735,222,45590,4690,262,17297.70,1/28/21
Wales,1911,61,10,1505,143,10,7482.98,1/28/21
Walpole,26055,1466,295,36502,4054,320,15559.29,1/28/21
Waltham,66447,4208,495,186687,13371,566,20122.76,1/28/21
Ware,10160,348,52,11698,1130,59,11121.62,1/28/21
Wareham,24185,1136,150,22752,2551,169,10547.79,1/28/21
Warren,5442,159,38,4249,425,42,7809.17,1/28/21
Warwick,734,9,<5,663,63,3,8583.78,1/28/21
Washington,445,<5,<5,412,41,1,9210.40,1/28/21
Watertown,33037,1779,235,66071,7161,278,21675.87,1/28/21
Wayland,13218,465,62,23694,2729,67,20646.77,1/28/21
Webster,17181,1346,179,26628,2720,202,15831.53,1/28/21
Wellesley,29713,887,131,112345,9262,147,31171.49,1/28/21
Wellfleet,2760,44,7,2213,158,8,5724.98,1/28/21
Wendell,709,10,<5,978,87,1,12266.47,1/28/21
Wenham,5203,207,25,8801,595,25,11435.44,1/28/21
West Boylston,7841,506,82,10810,1066,95,13595.83,1/28/21
